job_name,job_desc,item_name,description,qty,unitPrice,unitCost,costType,costCode,isTaxable
Job 2001,John Commer Addition,SIDING/SOFFIT/FASCIA,,1,22410,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,DRYWALL,,1,26000,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSULATION,,1,4950,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,SIDING/SOFFIT/FASCIA,,1,22410,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,DRYWALL,,1,26000,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSULATION,,1,4950,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FIX CEMENTE WINDOW SILL FRONT BATH,,1,450,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INTERIOR PAINTING,"- 1 coat of primer on ceilings and walls.
- Painting Ceilings and Walls Sherwin-Williams Paint.",1,6000,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,EXTERIOR PAINTING,"- Complete Pressure Washing for the Entire House.
- Thorough Preparation, including Masking, Filling Cracks and Holes, and Caulking Gaps.
- Professional Painting of Fascia, Soffit, Walls, Trim, Doors,",1,4900,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,LVP FLOORING INSTALLATION,"- Second floor
- Stair not inclued",1,4320,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,PERMITS AND INSPECTIONS FEES,,1,1500,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FRONT PORCH DRAW,,1,1500,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,GUTTER INSTALATION,,1,2500,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSTALL FLASHING AND SEAL VENT STACK,,1,790,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FIX CEMENTE WINDOW SILL FRONT BATH,,1,450,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INTERIOR PAINTING,"- 1 coat of primer on ceilings and walls.
- Painting Ceilings and Walls Sherwin-Williams Paint.",1,6000,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,EXTERIOR PAINTING,"- Complete Pressure Washing for the Entire House.
- Thorough Preparation, including Masking, Filling Cracks and Holes, and Caulking Gaps.
- Professional Painting of Fascia, Soffit, Walls, Trim, Doors,",1,4900,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,LVP FLOORING INSTALLATION,"- Second floor
- Stair not inclued",1,4320,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,PERMITS AND INSPECTIONS FEES,,1,1500,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FRONT PORCH DRAW,,1,1500,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,GUTTER INSTALATION,,1,2500,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSTALL FLASHING AND SEAL VENT STACK,,1,790,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,SIDING/SOFFIT/FASCIA,,,13446,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,DRYWALL,,,15600,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSULATION,,,2970,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FIX CEMENTE WINDOW SILL FRONT BATH,,,270,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INTERIOR PAINTING,"- 1 coat of primer on ceilings and walls.
- Painting Ceilings and Walls Sherwin-Williams Paint.",,3600,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,EXTERIOR PAINTING,"- Complete Pressure Washing for the Entire House.
- Thorough Preparation, including Masking, Filling Cracks and Holes, and Caulking Gaps.
- Professional Painting of Fascia, Soffit, Walls, Trim, Doors,",,2940,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,LVP FLOORING INSTALLATION,"- Second floor
- Stair not inclued",,2592,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,PERMITS AND INSPECTIONS FEES,,,900,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FRONT PORCH DRAW,,,900,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,GUTTER INSTALATION,,,1500,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSTALL FLASHING AND SEAL VENT STACK,,,474,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,SIDING/SOFFIT/FASCIA,,,6723,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,DRYWALL,,,7800,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSULATION,,,1485,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FIX CEMENTE WINDOW SILL FRONT BATH,,,135,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INTERIOR PAINTING,"- 1 coat of primer on ceilings and walls.
- Painting Ceilings and Walls Sherwin-Williams Paint.",,1800,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,EXTERIOR PAINTING,"- Complete Pressure Washing for the Entire House.
- Thorough Preparation, including Masking, Filling Cracks and Holes, and Caulking Gaps.
- Professional Painting of Fascia, Soffit, Walls, Trim, Doors,",,1470,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,LVP FLOORING INSTALLATION,"- Second floor
- Stair not inclued",,1296,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,PERMITS AND INSPECTIONS FEES,,,450,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FRONT PORCH DRAW,,,450,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,GUTTER INSTALATION,,,750,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSTALL FLASHING AND SEAL VENT STACK,,,237,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,SIDING/SOFFIT/FASCIA,,,2241,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,DRYWALL,,,2600,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSULATION,,,495,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FIX CEMENTE WINDOW SILL FRONT BATH,,,45,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INTERIOR PAINTING,"- 1 coat of primer on ceilings and walls.
- Painting Ceilings and Walls Sherwin-Williams Paint.",,600,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,EXTERIOR PAINTING,"- Complete Pressure Washing for the Entire House.
- Thorough Preparation, including Masking, Filling Cracks and Holes, and Caulking Gaps.
- Professional Painting of Fascia, Soffit, Walls, Trim, Doors,",,490,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,LVP FLOORING INSTALLATION,"- Second floor
- Stair not inclued",,432,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,PERMITS AND INSPECTIONS FEES,,,150,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,FRONT PORCH DRAW,,,150,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,GUTTER INSTALATION,,,250,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,INSTALL FLASHING AND SEAL VENT STACK,,,79,0,Labor,Uncategorized,False
Job 2001,John Commer Addition,Materials The Home Depot,,,,,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Uncategorized Item,,,,285.16,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Materials Lowe's,,,,,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Uncategorized Item,,,,353.19,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Materials Lowe's,,,,147.68,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Inspection and evaluation labor,,,,,Labor,Uncategorized,False
Job 2001,John Commer Addition,Final inspection,,,,,Labor,Uncategorized,False
Job 2001,John Commer Addition,Materials Lowe's,,,,66.55,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Materials D&D,,,,,Materials,Miscellaneous,False
Job 2001,John Commer Addition,Uncategorized Item,,,,77.04,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Materials Harbor Freight,,,,,Materials,Miscellaneous,False
Job 2001,John Commer Addition,Uncategorized Item,,,,9.62,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Fuel,,,,,Materials,Miscellaneous,False
Job 2001,John Commer Addition,Uncategorized Item,,,,75,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Materials Acer,,,,,Materials,Miscellaneous,False
Job 2001,John Commer Addition,Uncategorized Item,,,,17.45,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Materials The Home Depot,,,,95.66,Materials,Miscellaneous,True
Job 2001,John Commer Addition,Materials The Home Depot,,,,93.09,Materials,Miscellaneous,True
Job 2002,Pool Room,Demolition Labor,"Removal and disposal of 4 feet of existing drywall panels from the walls.
Inspection of framing and insulation for moisture damage",,,,Labor,Uncategorized,False
Job 2002,Pool Room,Substrate preparation labor,"Installation of vapor barrier or moisture membrane (if not already present or if damaged)
Treatment of framing with anti-microbial solution (if necessary)",,,,Labor,Uncategorized,False
Job 2002,Pool Room,Cement baker board labor,"Installation of cementitious backer board panels
Proper fastening with corrosion-resistant screws
Sealing of joints using alkali-resistant fiberglass mesh tape
Application of thin-set mortar or an app",,,,Labor,Uncategorized,False
Job 2002,Pool Room,Cement backerboard,,,,,Materials,Uncategorized,True
Job 2002,Pool Room,Waterproofing labor,"Application of a liquid waterproofing membrane over cement board
This additional waterproofing layer provides enhanced protection against vapor migration and water intrusion.",,,,Labor,Uncategorized,False
Job 2002,Pool Room,Waterproofing membrane,,,,,Materials,Uncategorized,True
Job 2002,Pool Room,Finish Pool Room,,,5948.000000000001,3568.8,Labor,Uncategorized,False
Job 2002,Pool Room,Concrete evaluation labor,Moisture levels must be checked — excessive moisture can cause blistering and delamination,,,,Labor,Uncategorized,False
Job 2002,Pool Room,Cleaning labor,"Remove dust, oil, grease, chemical residues, and contaminants.
Use appropriate degreasers if necessary

Rinse thoroughly and allow complete drying",,,,Labor,Uncategorized,False
